name,risk_pct,blocked_sessions,session_rr,rr_default,one_at_a_time,h1_filter,cooldown,time_exit_min,atr_sl_mult,blocked_days,return_pct,net_profit,total_trades,win_rate,profit_factor,max_drawdown,max_drawdown_pct,avg_win,avg_loss,avg_r_multiple,max_consecutive_losses,best_trade,worst_trade
A2_EU2.5_AS1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 1.5}",2.0,False,True,2,210,1.5,[],188.16,18815.8,1125,37.69,1.1,15813.9,43.13,482.56,265.04,0.0793,23,1679.79,-730.8
A3_H1False_CD2_TE0_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,2,0,2.0,[],184.27,18427.3,1683,33.04,1.07,14273.36,38.17,529.85,245.05,0.0707,26,1624.18,-747.5
A2_EU2.5_AS2.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.5}",2.0,False,True,2,210,1.5,[],178.64,17863.76,1115,33.36,1.1,13047.87,35.0,532.42,242.52,0.0853,27,1693.88,-745.2
A3_H1True_CD2_TE120_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,120,2.0,[],176.18,17617.93,1131,41.11,1.08,16792.38,41.08,517.07,334.57,0.0755,24,1904.71,-817.03
A1_R2_BUS_1atFalse,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],171.72,17171.96,1116,34.95,1.11,10513.54,30.79,453.34,219.88,0.0802,26,1545.16,-682.8
A2_EU2.5_AS2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],171.72,17171.96,1116,34.95,1.11,10513.54,30.79,453.34,219.88,0.0802,26,1545.16,-682.8
A3_H1True_CD2_TE210_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],171.72,17171.96,1116,34.95,1.11,10513.54,30.79,453.34,219.88,0.0802,26,1545.16,-682.8
A4_BDnone,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],171.72,17171.96,1116,34.95,1.11,10513.54,30.79,453.34,219.88,0.0802,26,1545.16,-682.8
A3_H1True_CD4_TE0_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,4,0,1.5,[],167.81,16781.24,1059,33.33,1.11,11321.71,30.74,487.05,219.75,0.0822,33,1666.08,-735.89
A2_EU2.0_AS3.0,2,['US'],"{'EUROPE': 2.0, 'ASIA': 3.0}",2.0,False,True,2,210,1.5,[],158.69,15868.87,1115,34.35,1.07,19440.45,60.27,629.02,307.44,0.0809,27,1727.46,-644.4
A3_H1False_CD0_TE120_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,0,120,2.0,[],153.39,15339.18,1931,40.03,1.04,25640.37,63.96,538.67,346.33,0.0548,19,1866.43,-801.65
A3_H1True_CD4_TE360_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,4,360,1.5,[],152.42,15242.17,1060,33.87,1.1,10723.87,30.84,477.88,222.99,0.0792,33,1572.03,-694.8
A3_H1True_CD0_TE210_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,0,210,1.5,[],152.33,15233.4,1187,34.71,1.09,10114.96,33.28,427.05,207.37,0.0749,28,1437.67,-588.0
A3_H1False_CD4_TE360_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,4,360,2.0,[],143.65,14364.93,1542,34.57,1.06,12489.85,33.89,476.79,237.62,0.0667,20,1602.35,-736.78
A3_H1True_CD2_TE120_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,120,1.5,[],140.66,14066.33,1128,37.85,1.09,11368.71,35.19,397.18,221.87,0.0714,25,1428.54,-645.75
